point_type,w1,w2,w3,w7,w9,w10,w11,objective_value
grid,565.0,565.0,565.0,360.0,360.0,360.0,360.0,-6281.50051
grid,565.0,565.0,565.0,360.0,360.0,360.0,440.0,-6457.09529
grid,565.0,565.0,565.0,360.0,360.0,360.0,520.0,-6622.89626
grid,565.0,565.0,565.0,360.0,360.0,360.0,600.0,-6783.81085
grid,565.0,565.0,565.0,360.0,360.0,360.0,680.0,-6921.8532
grid,565.0,565.0,565.0,360.0,360.0,360.0,760.0,-7084.57978
grid,565.0,565.0,565.0,360.0,360.0,360.0,840.0,-7246.52428
grid,565.0,565.0,565.0,360.0,360.0,360.0,920.0,-7407.939
grid,565.0,565.0,565.0,360.0,360.0,360.0,1000.0,-7572.22887
grid,565.0,565.0,565.0,360.0,360.0,360.0,1080.0,-7740.38156
grid,565.0,565.0,565.0,360.0,360.0,440.0,360.0,-6460.07804
grid,565.0,565.0,565.0,360.0,360.0,440.0,440.0,-6604.217309
grid,565.0,565.0,565.0,360.0,360.0,440.0,520.0,-3623731.61692
grid,565.0,565.0,565.0,360.0,360.0,440.0,600.0,-5365633.35863
grid,565.0,565.0,565.0,360.0,360.0,440.0,680.0,-7084.06982
grid,565.0,565.0,565.0,360.0,360.0,440.0,760.0,-7241.4509
grid,565.0,565.0,565.0,360.0,360.0,440.0,840.0,-7408.32098
grid,565.0,565.0,565.0,360.0,360.0,440.0,920.0,-7573.27805
grid,565.0,565.0,565.0,360.0,360.0,440.0,1000.0,-7741.46066
grid,565.0,565.0,565.0,360.0,360.0,440.0,1080.0,-7902.3275
grid,565.0,565.0,565.0,360.0,360.0,520.0,360.0,-6606.95385
grid,565.0,565.0,565.0,360.0,360.0,520.0,440.0,-6778.25485
grid,565.0,565.0,565.0,360.0,360.0,520.0,520.0,-6944.00847
grid,565.0,565.0,565.0,360.0,360.0,520.0,600.0,-7082.25044
grid,565.0,565.0,565.0,360.0,360.0,520.0,680.0,-7245.84948
grid,565.0,565.0,565.0,360.0,360.0,520.0,760.0,-7408.10434
